date,name,count,damage
200109,"Arizona",2,0.0
200110,"Arizona",0,0.0
200111,"Arizona",0,0.0
200112,"Arizona",0,0.0
200101,"Arkansas",0,0.0
200102,"Arkansas",19,0.0
200103,"Arkansas",0,0.0
200104,"Arkansas",0,0.0
200105,"Arkansas",9,0.0
200106,"Arkansas",0,0.0
200107,"Arkansas",0,0.0
200108,"Arkansas",0,0.0
200109,"Arkansas",0,0.0
200110,"Arkansas",0,0.0
200111,"Arkansas",19,0.0
200112,"Arkansas",5,0.0
200101,"California",0,0.0
200102,"California",1,0.0
200103,"California",0,0.0
200104,"California",2,0.0
200105,"California",0,0.0
200106,"California",0,0.0
200107,"California",1,0.0
200108,"California",0,0.0
200109,"California",0,0.0
200110,"California",0,0.0
200111,"California",1,0.0
200112,"California",2,0.0
200101,"Colorado",0,0.0
200102,"Colorado",0,0.0
200103,"Colorado",0,0.0
200104,"Colorado",0,0.0
200105,"Colorado",21,0.0
200106,"Colorado",16,0.0
200107,"Colorado",6,0.0
200108,"Colorado",3,0.0
200109,"Colorado",0,0.0
200110,"Colorado",0,0.0
200111,"Colorado",0,0.0
200112,"Colorado",0,0.0
200101,"Connecticut",0,0.0
200102,"Connecticut",0,0.0
200103,"Connecticut",0,0.0
200104,"Connecticut",0,0.0
200105,"Connecticut",0,0.0
200106,"Connecticut",3,0.0
200107,"Connecticut",1,0.0
200108,"Connecticut",0,0.0
200109,"Connecticut",0,0.0
200110,"Connecticut",0,0.0
200111,"Connecticut",0,0.0
200112,"Connecticut",0,0.0
200101,"Delaware",0,0.0
200102,"Delaware",0,0.0
200103,"Delaware",0,0.0
200104,"Delaware",0,0.0
200105,"Delaware",0,0.0
200106,"Delaware",0,0.0
200107,"Delaware",0,0.0
200108,"Delaware",0,0.0
200109,"Delaware",0,0.0
200110,"Delaware",0,0.0
200111,"Delaware",0,0.0
200112,"Delaware",0,0.0
200101,"Florida",0,0.0
200102,"Florida",0,0.0
200103,"Florida",15,0.0
200104,"Florida",0,0.0
200105,"Florida",0,0.0
200106,"Florida",16,0.0
200107,"Florida",7,0.0
200108,"Florida",5,0.0
200109,"Florida",22,0.0
200110,"Florida",6,0.0
200111,"Florida",2,0.0
200112,"Florida",0,0.0
200101,"Georgia",3,0.0
200102,"Georgia",1,0.0
200103,"Georgia",5,0.0
200104,"Georgia",0,0.0
200105,"Georgia",1,0.0
200106,"Georgia",2,0.0
200107,"Georgia",0,0.0
200108,"Georgia",0,0.0
200109,"Georgia",1,0.0
200110,"Georgia",0,0.0
200111,"Georgia",1,0.0
200112,"Georgia",0,0.0
200101,"Hawaii",0,0.0
200102,"Hawaii",0,0.0
200103,"Hawaii",0,0.0
200104,"Hawaii",0,0.0
200105,"Hawaii",0,0.0
200106,"Hawaii",0,0.0
200107,"Hawaii",0,0.0
200108,"Hawaii",0,0.0
200109,"Hawaii",0,0.0
200110,"Hawaii",0,0.0
200111,"Hawaii",0,0.0
200112,"Hawaii",0,0.0
200101,"Idaho",0,0.0
200102,"Idaho",0,0.0
200103,"Idaho",0,0.0
200104,"Idaho",0,0.0
200105,"Idaho",0,0.0
200106,"Idaho",0,0.0
200107,"Idaho",1,0.0
200108,"Idaho",0,0.0
200109,"Idaho",1,0.0
200110,"Idaho",0,0.0
200111,"Idaho",0,0.0
200112,"Idaho",0,0.0
200101,"Illinois",0,0.0
200102,"Illinois",0,0.0
200103,"Illinois",0,0.0
200104,"Illinois",2,0.0
